source_link,keyword
https://app.iha.com.tr/ankara-haberleri/biletini-iptal-ederek-otobus-kazasindan-kil-payi-kurtulan-kaya-kimisi-sans-der-ben-anne-duasi-diyorum-106457733,kaya hareketi
https://app.iha.com.tr/bursa-haberleri/ucurumdan-yuvarlanan-off-road-tutkunu-2-kisi-yarali-olarak-helikopterle-kurtarildi-104906880,kaya hareketi
https://app.iha.com.tr/diyarbakir-haberleri/narin-cinayetinde-tutuklu-amca-salim-guranin-ifadesi-yeninden-alindi-nevzat-bahtiyarin-aleyhime-soylemis-oldugu-tum-hususlar-yalandir-116113009,zemin hareketi
https://app.iha.com.tr/erzurum-haberleri/kis-turizminin-parlayan-yildizi-palandoken-63231650,yamaç kayması
https://app.iha.com.tr/eskisehir-haberleri/semt-pazari-icerisindeki-yol-coktu-2-metre-derinliginde-cukur-olustu-121146523,yer çökmesi
https://app.iha.com.tr/haber-kolombiyada-otoyolda-toprak-kaymasi-18-olu-35-yarali-1185475?id=0,yer kayması
https://app.iha.com.tr/haber-partilerin-oy-pusulasindaki-yeri-belli-oldu-1185673,zemin hareketi
https://app.iha.com.tr/istanbul-haberleri/15-temmuz-sehitler-koprusunu-sma-yazili-aracla-trafige-kapatan-sanik-hakim-karsisinda-99904224,yer hareketleri
https://app.iha.com.tr/istanbul-haberleri/bahcelievlerde-dolu-etkili-oldu-111350926,kaya düşmesi
https://app.iha.com.tr/istanbul-haberleri/buyukcekmece-belediyesindeki-rusvet-davasinin-gorulmesine-devam-edildi-113648768,zemin kayması
https://app.iha.com.tr/istanbul-haberleri/el-frenini-cekmeyi-unuttu-patates-yuklu-kamyoneti-camdan-iceri-atlayarak-durdurdu-97675538,moloz akması
https://app.iha.com.tr/istanbul-haberleri/fatihte-3-katli-metruk-bina-coktu-1-yarali-115809981,"yer çökmesi,zemin çökmesi"
https://app.iha.com.tr/istanbul-haberleri/fatihte-tarihi-metruk-bina-kismen-coktu-89399930,"zemin çökmesi,kaya düşmesi"
https://app.iha.com.tr/istanbul-haberleri/galatasaray-young-boys-maci-hazirliklarini-tamamladi-110954304,yer hareketleri
https://app.iha.com.tr/istanbul-haberleri/iett-otobusu-kaldirimdaki-2-kisiye-carpti-o-anlar-kamerada-70845314,çamur akıntısı
https://app.iha.com.tr/istanbul-haberleri/istanbul-bogazinda-ariza-yapan-kuru-yuk-gemisi-kurtarildi-99439038,toprak sürüklenmesi
https://app.iha.com.tr/istanbul-haberleri/istanbul-havalimani-gunluk-ortalama-bin-502-ucusla-avrupada-zirvede-106284744,kaya düşmesi
https://app.iha.com.tr/konya-haberleri/obruk-olusumu-oncesi-belirtilere-dikkat-121125090,yer çökmesi
https://app.iha.com.tr/rize-haberleri/rizede-toprak-kaymasi-meydana-geldi-o-anlar-kamerada-93050895,yer kayması
https://app.iha.com.tr/samsun-haberleri/deprem-gormus-gibi-bu-mahalle-cokmeye-devam-ediyor-12521662,zemin çökmesi
https://app.iha.com.tr/tekirdag-haberleri/denizde-turuncu-renk-ve-denizanasi-istilasi-61656910?id=0,yamaç kayması
https://app.iha.com.tr/tekirdag-haberleri/gokyuzunde-gorsel-solen-dolunay-kizilligi-ile-goz-kamastirdi-93255694?id=0,kaya devrilmesi
https://app.iha.com.tr/tokat-haberleri/tokatta-toprak-kaymasi-sonucu-bircok-evin-yikildigi-koyle-ilgili-korkutan-iddia-56628118?id=0,"toprak kayması,yer kayması"
https://app.iha.com.tr/tunceli-haberleri/dogu-ve-guneydoguyu-karadenize-baglayan-yolda-kaya-dusmesi-ve-heyelan-tehlikesi-76967029,"kaya düşmesi,kaya hareketi"
https://app.iha.com.tr/video-cinde-avmnin-zemini-aniden-coktu-2-yarali?p=7?id=0,zemin çökmesi
https://app.iha.com.tr/video-el-salvadorda-sel-ve-toprak-kaymasi-11-olu,toprak çökmesi
https://app.iha.com.tr/video-el-salvadorda-sel-ve-toprak-kaymasi-11-olu?p=2,toprak çökmesi
https://app.iha.com.tr/video-el-salvadorda-sel-ve-toprak-kaymasi-11-olu?p=3,toprak çökmesi
https://app.iha.com.tr/video-nepalde-sel-ve-heyelan-10-olu-7-kayip?p=2,heyelan
https://app.iha.com.tr/video-nepalde-sel-ve-heyelan-10-olu-7-kayip?p=3,heyelan
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1930/11/3/4,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1930/11/5/2,"kaya kayması,kaya hareketi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1931/8/16/2,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1932/1/11/5,zemin hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1932/3/1/3,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1932/6/24/6,"moloz akıntısı,moloz akması,moloz hareketi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1932/6/25/4,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1932/6/28/5,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1932/8/19/3,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1933/4/1/5,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1933/8/29/5,yer hareketleri
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1935/10/16/3,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1935/10/23/7,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1935/5/27/5,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1936/1/11/5,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1936/11/3/5,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1936/11/5/6,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1936/12/28/6,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1936/6/29/4,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1936/7/7/3,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/1/27/2,çamur akması
